fid,Station,Latitude (N),Longitude (E),Tmean (°C),Salinity PSU,N2O (nM),NH4 (µmol/L),NOx (µmol/L),Latitude (N)_1,Longitude (E)_1,Station_2,Latitude (N)_2,Longitude (E)_2,Tmean (°C)_2,Salinity PSU_2,N2O (nM)_2,NH4 (µmol/L)_2,NOx (µmol/L)_2,Latitude (N)_1_2,Longitude (E)_1_2,area,flux_stations_field_1,flux_stations_Flux µmol.m**-2.hour**-1
"1",T01,"51,3729",4.144216667,7.64,8.04,22.37,9.8,211.05,"51° 22,374","4° 08,653'",T01,"51,3729",4.144216667,7.64,8.04,22.37,9.8,211.05,"51° 22,374","4° 08,653'",23384578.541403,"9",0.421317042263075
"2",S12,"51,364",4.225633333,7.58,6.64,33.88,24.47,274.7,"51° 21,840'","4° 13,538'",S12,"51,364",4.225633333,7.58,6.64,33.88,24.47,274.7,"51° 21,840'","4° 13,538'",15875198.348101,"4",0.316899225561152
"3",S01B,"51,41591667",3.571033333,6.9,29.7,18.03,4.97,61.85,"51° 24,955'","3° 34,262'",S01B,"51,41591667",3.571033333,6.9,29.7,18.03,4.97,61.85,"51° 24,955'","3° 34,262'",123732943.190169,"1",0.0928755874170529
"4",S15,"51,31241667",4.272633333,7.59,8.89,29.41,10.38,259.63,"51° 18,745'","4° 16,358",S15,"51,31241667",4.272633333,7.59,8.89,29.41,10.38,259.63,"51° 18,745'","4° 16,358",9194443.07035834,"5",0.767891268080085
"5",T02,"51,34063333",4.269416667,7.64,8.05,-999,16,87.1,"51° 20,438'","4° 16,165'",T02,"51,34063333",4.269416667,7.64,8.05,-999,16,87.1,"51° 20,438'","4° 16,165'",3910191.67834625,"10",0.359
"6",S22B,"51,21626667",4.389483333,7.06,0.49,74.4,44.61,321.6,"51° 12,976'","4° 23,369'",S22B,"51,21626667",4.389483333,7.06,0.49,74.4,44.61,321.6,"51° 12,976'","4° 23,369'",3696826.78772523,"8",0.903673329546872
"7",S09,"51,3716",4.082783333,7.29,11.04,27.88,5.61,231.12,"51° 22,296'","4° 04,967'",S09,"51,3716",4.082783333,7.29,11.04,27.88,5.61,231.12,"51° 22,296'","4° 04,967'",30191019.9653455,"3",0.225267204226938
"8",T06,"51,3527",3.8738,6.66,20.72,23,7.78,139.98,"51° 21,162'","3° 52,428'",T06,"51,3527",3.8738,6.66,20.72,23,7.78,139.98,"51° 21,162'","3° 52,428'",20988143.1508554,"13",0.153123513023688
"9",S15B,"51,32403333",4.274983333,7.26,3.79,40.29,15.41,291.45,"51° 19,442'","4° 16,499'",S15B,"51,32403333",4.274983333,7.26,3.79,40.29,15.41,291.45,"51° 19,442'","4° 16,499'",1925538.73275825,"6",0.408178255778741
"10",S22,"51,22063333",4.392816667,7.21,3.61,43.58,19.97,296.48,"51° 13,238'","4° 23,569",S22,"51,22063333",4.392816667,7.21,3.61,43.58,19.97,296.48,"51° 13,238'","4° 23,569",4125389.69562986,"7",1.39779668213849
"11",T05,"51,3989",3.951933333,6.6,18.77,-999,7.94,157.88,"51° 23,934'","3° 57,116'",T05,"51,3989",3.951933333,6.6,18.77,-999,7.94,157.88,"51° 23,934'","3° 57,116'",24987343.8850462,"12",0.14
"12",T04,"51,42988333",3.968566667,6.71,16.17,22.43,8.95,179.04,"51° 25,793'","3° 58,114'",T04,"51,42988333",3.968566667,6.71,16.17,22.43,8.95,179.04,"51° 25,793'","3° 58,114'",33006696.1571434,"11",0.139268582379633
"13",S04,"51,34441667",3.846533333,6.89,22.38,19.4,5.72,133.47,"51° 20,665'","3° 50,792",S04,"51,34441667",3.846533333,6.89,22.38,19.4,5.72,133.47,"51° 20,665'","3° 50,792",21013472.4723577,"2",0.319561883599469
"14",T07,"51,36801667",3.7496,6.82,24.48,20.71,-999,110.68,"51° 22,081'","3° 44,976'",T07,"51,36801667",3.7496,6.82,24.48,20.71,-999,110.68,"51° 22,081'","3° 44,976'",66768767.8906227,"14",0.123254169325719
"15",S01,"51,41603333",3.583233333,7,27.81,15.23,5.98,104.17,"51° 24,962'","3° 34,994'",S01,"51,41603333",3.583233333,7,27.81,15.23,5.98,104.17,"51° 24,962'","3° 34,994'",47022472.8445804,"0",0.224015733659338
